Parent	Type	Child	Weight	Probability	Score
Cebpa	+	Cebpa	0.400910	1.000000	0.549451
EgrNab	+	Cebpa	0.295851	0.947426	0.384150
Eklf	-	Cebpa	-0.040808	0.436213	-0.024396
Fli1	+	Cebpa	0.091210	0.464418	0.058054
Fog1	+	Cebpa	0.742240	0.983045	1.000000
Gata1	+	Cebpa	0.320695	0.829407	0.364538
Gata2	+	Cebpa	0.364185	0.968181	0.483238
Gfi1	+	Cebpa	0.453062	1.000000	0.620926
Pu1	+	Cebpa	0.550538	1.000000	0.754518
Scl	+	Cebpa	0.104813	0.478271	0.068702
cJun	+	Cebpa	0.017638	0.018014	0.000435
Cebpa	+	EgrNab	0.055393	0.507143	0.038501
EgrNab	+	EgrNab	0.033212	0.120488	0.005484
Eklf	-	EgrNab	-0.032121	0.444520	-0.019568
Fli1	-	EgrNab	-0.081768	0.526107	-0.058957
Fog1	+	EgrNab	0.053058	0.470864	0.034240
Gata1	-	EgrNab	-0.105027	0.547752	-0.078844
Gata2	-	EgrNab	-0.006748	0.156078	-0.001443
Gfi1	-	EgrNab	-0.002169	0.080834	-0.000240
Pu1	-	EgrNab	-0.010075	0.090841	-0.001254
Scl	+	EgrNab	0.012785	0.444284	0.007785
cJun	+	EgrNab	0.112229	0.993605	0.152828
Cebpa	-	Eklf	-0.000304	0.084777	-0.000035
EgrNab	-	Eklf	-0.005360	0.095729	-0.000703
Eklf	+	Eklf	0.005840	0.439929	0.003521
Fli1	-	Eklf	-0.001202	0.436575	-0.000719
Fog1	-	Eklf	-0.006198	0.442125	-0.003755
Gata1	+	Eklf	0.014401	0.343807	0.006785
Gata2	+	Eklf	0.017936	0.391451	0.009622
Gfi1	+	Eklf	0.002375	0.080105	0.000261
Pu1	+	Eklf	0.016576	0.997190	0.022653
Scl	+	Eklf	0.000651	0.442727	0.000395
cJun	+	Eklf	0.013750	0.287994	0.005427
Cebpa	+	Fli1	0.008535	0.299979	0.003509
EgrNab	+	Fli1	0.003555	0.073378	0.000358
Eklf	+	Fli1	0.016674	0.510568	0.011667
Fli1	+	Fli1	0.004050	0.441423	0.002450
Fog1	+	Fli1	0.012809	0.479971	0.008426
Gata1	+	Fli1	0.012514	0.323270	0.005544
Gata2	+	Fli1	0.021967	0.544489	0.016392
Gfi1	+	Fli1	0.005072	0.134471	0.000935
Pu1	+	Fli1	0.007455	0.215669	0.002204
Scl	+	Fli1	0.013348	0.494424	0.009045
cJun	+	Fli1	0.003979	0.029401	0.000160
Cebpa	+	Fog1	0.005241	0.133087	0.000956
EgrNab	+	Fog1	0.008515	0.130912	0.001528
Eklf	+	Fog1	0.003645	0.433755	0.002167
Fli1	+	Fog1	0.004614	0.442793	0.002800
Fog1	+	Fog1	0.001045	0.430785	0.000617
Gata1	+	Fog1	0.017813	0.397469	0.009704
Gata2	+	Fog1	0.000271	0.145387	0.000054
Gfi1	+	Fog1	0.002560	0.096870	0.000340
Pu1	+	Fog1	0.012432	0.922199	0.015713
Scl	-	Fog1	-0.005355	0.451231	-0.003312
cJun	+	Fog1	0.008271	0.105213	0.001193
Cebpa	+	Gata1	0.003145	0.074528	0.000321
EgrNab	-	Gata1	-0.115052	0.999991	-0.157678
Eklf	+	Gata1	0.063151	0.614408	0.053177
Fli1	+	Gata1	0.054348	0.576557	0.042945
Fog1	+	Gata1	0.004483	0.429281	0.002637
Gata1	-	Gata1	-0.032304	0.366624	-0.016232
Gata2	+	Gata1	0.225070	1.000000	0.308461
Gfi1	+	Gata1	0.002645	0.071886	0.000261
Pu1	+	Gata1	0.003936	0.078259	0.000422
Scl	+	Gata1	0.078742	0.692241	0.074705
cJun	+	Gata1	0.112995	1.000000	0.154861
Cebpa	+	Gata2	0.001387	0.053261	0.000101
EgrNab	-	Gata2	-0.090289	0.989686	-0.122466
Eklf	+	Gata2	0.028917	0.469871	0.018622
Fli1	+	Gata2	0.066387	0.619725	0.056385
Fog1	+	Gata2	0.002460	0.426981	0.001439
Gata1	+	Gata2	0.248852	0.000000	0.000000
Gata2	+	Gata2	0.377375	1.000000	0.517196
Gfi1	-	Gata2	-0.000309	0.050448	-0.000021
Pu1	+	Gata2	0.004513	0.069044	0.000427
Scl	+	Gata2	0.099711	0.771633	0.105448
cJun	+	Gata2	0.097154	1.000000	0.133151
Cebpa	+	Gfi1	0.475594	1.000000	0.651807
EgrNab	+	Gfi1	0.214362	0.575995	0.169219
Eklf	-	Gfi1	-0.044140	0.436970	-0.026434
Fli1	-	Gfi1	-0.079044	0.457927	-0.049608
Fog1	+	Gfi1	0.180558	0.528126	0.130688
Gata1	+	Gfi1	0.478606	0.988205	0.648198
Gata2	-	Gfi1	-0.276628	0.715437	-0.271238
Gfi1	+	Gfi1	0.415123	1.000000	0.568931
Pu1	+	Gfi1	0.532420	1.000000	0.729687
Scl	+	Gfi1	0.145294	0.506317	0.100821
cJun	+	Gfi1	0.065476	0.071986	0.006460
Cebpa	+	Pu1	0.470248	1.000000	0.644480
EgrNab	+	Pu1	0.304002	0.977810	0.407393
Eklf	-	Pu1	-0.000559	0.430015	-0.000329
Fli1	-	Pu1	-0.010051	0.437382	-0.006025
Fog1	+	Pu1	0.100546	0.467374	0.064404
Gata1	+	Pu1	0.360411	0.954627	0.471536
Gata2	+	Pu1	0.108624	0.277799	0.041356
Gfi1	+	Pu1	0.404284	1.000000	0.554076
Pu1	+	Pu1	0.497838	1.000000	0.682293
Scl	+	Pu1	0.408523	0.800465	0.448168
cJun	-	Pu1	-0.012419	0.016410	-0.000279
Cebpa	+	Scl	0.002078	0.085655	0.000244
EgrNab	-	Scl	-0.007098	0.115696	-0.001125
Eklf	+	Scl	0.011057	0.469062	0.007108
Fli1	-	Scl	-0.003322	0.439742	-0.002002
Fog1	-	Scl	-0.000704	0.430551	-0.000416
Gata1	+	Scl	0.009662	0.274833	0.003639
Gata2	+	Scl	0.015286	0.337887	0.007079
Gfi1	+	Scl	0.010073	0.189063	0.002610
Pu1	+	Scl	0.010234	0.192831	0.002705
Scl	-	Scl	-0.001503	0.443412	-0.000913
cJun	+	Scl	0.008255	0.109472	0.001239
Cebpa	-	cJun	-0.005858	0.076459	-0.000614
EgrNab	+	cJun	0.530240	0.000000	0.000000
Eklf	-	cJun	-0.051646	0.442153	-0.031296
Fli1	+	cJun	0.033558	0.440384	0.020254
Fog1	+	cJun	0.007813	0.429719	0.004602
Gata1	+	cJun	0.353197	0.964860	0.467050
Gata2	+	cJun	0.407532	0.999438	0.558213
Gfi1	+	cJun	0.103828	0.913759	0.130025
Pu1	-	cJun	-0.029832	0.090640	-0.003706
Scl	-	cJun	-0.006337	0.441591	-0.003835
cJun	+	cJun	0.550326	1.000000	0.754228
