SourceGENES,TargetGENES,Interaction,Edges
g7,g8,1.3112993152368,repression
g4,g8,1.07167389327878,repression
g5,g8,1,activation
g1,g8,0.913399413389895,activation
g2,g1,0.505992992755528,activation
g4,g7,0.504485227318575,repression
g5,g7,0.461515944051944,repression
g1,g7,0.417207168253851,repression
g4,g4,0.408721389645709,activation
g4,g5,0.403285868413948,activation
g7,g7,0.383543945084312,activation
g5,g4,0.370884193586131,activation
g2,g7,0.362579920436734,repression
g4,g6,0.361093081365329,activation
g5,g5,0.357593083493361,activation
g2,g5,0.352649301358042,activation
g5,g6,0.352272070097971,activation
g1,g6,0.327292077202091,repression
g1,g4,0.325930552432262,activation
g2,g4,0.325405484921484,activation
g7,g6,0.323567521097988,activation
g1,g5,0.32141417753495,repression
g7,g4,0.305080994298051,repression
g7,g5,0.303410600050653,repression
g7,g3,0.239994336964709,activation
g1,g3,0.195183384557192,repression
g4,g1,0.193061605749099,activation
g5,g1,0.164205978943249,repression
g1,g1,0.130619258534123,activation
g4,g3,0.128518572692278,activation
g5,g3,0.123674258808262,activation
g2,g6,0.120964404481275,repression
g6,g8,0.0882904152073228,activation
g2,g2,0.048416784222288,activation
g7,g1,0.0483998590065282,repression
g6,g3,0.0188431367963045,activation
g6,g4,0.0172570301025304,activation
g6,g5,0.0167483011856233,activation
g6,g7,0.016228728860503,activation
g6,g2,0.0148750672243482,repression
g6,g6,0.00443089694210793,activation
g3,g2,6.02848694791782e-36,activation
g3,g5,3.17265516238464e-36,activation
g3,g4,2.80001504433298e-36,activation
g3,g1,2.43093477906517e-36,repression
g3,g3,1.23333754603271e-36,activation
g3,g7,1.15534641480454e-36,activation
g8,g2,6.06873794239017e-38,repression
g1,g2,0,no regulation
g2,g3,0,no regulation
g2,g8,0,no regulation
g3,g6,0,no regulation
g3,g8,0,no regulation
g4,g2,0,no regulation
g5,g2,0,no regulation
g6,g1,0,no regulation
g7,g2,0,no regulation
g8,g1,0,no regulation
g8,g3,0,no regulation
g8,g4,0,no regulation
g8,g5,0,no regulation
g8,g6,0,no regulation
g8,g7,0,no regulation
g8,g8,0,no regulation
