Parent	Type	Child	Weight	Probability	Score
g1	+	g1	0.493841	1.000000	0.490381
g2	+	g1	0.175306	0.996230	0.173421
g3	-	g1	-0.000296	0.023644	-0.000007
g4	+	g1	0.001210	0.000147	0.000000
g5	-	g1	-0.288886	0.999947	-0.286846
g6	+	g1	0.100364	0.273822	0.027289
g7	+	g1	0.077934	0.188593	0.014595
g8	+	g1	0.433910	1.000000	0.430869
g1	+	g2	0.152826	0.677543	0.102821
g2	+	g2	0.596086	1.000000	0.591909
g3	+	g2	0.229213	0.999998	0.227607
g4	+	g2	0.009295	0.003503	0.000032
g5	-	g2	-0.073970	0.135209	-0.009931
g6	+	g2	0.033013	0.076528	0.002509
g7	+	g2	0.076213	0.164989	0.012486
g8	+	g2	0.301235	1.000000	0.299125
g1	-	g3	-0.100878	0.212743	-0.021311
g2	+	g3	0.478119	1.000000	0.474769
g3	+	g3	0.762833	1.000000	0.757488
g4	+	g3	0.116838	0.081070	0.009406
g5	+	g3	0.315140	0.750207	0.234764
g6	-	g3	-0.185609	0.356928	-0.065785
g7	+	g3	0.281313	0.493436	0.137838
g8	-	g3	-0.021900	0.086618	-0.001884
g1	+	g4	0.125729	0.227700	0.028428
g2	-	g4	-0.027183	0.055804	-0.001506
g3	+	g4	0.056872	0.058653	0.003312
g4	+	g4	1.007056	1.000000	1.000000
g5	+	g4	0.013281	0.094849	0.001251
g6	-	g4	-0.259007	0.881729	-0.226774
g7	+	g4	0.594971	0.999817	0.590694
g8	-	g4	-0.021858	0.076237	-0.001655
g1	+	g5	0.046959	0.109128	0.005089
g2	+	g5	0.166144	0.994702	0.164106
g3	+	g5	0.092852	0.443361	0.040879
g4	-	g5	-0.003499	0.000679	-0.000002
g5	+	g5	0.508681	1.000000	0.505117
g6	+	g5	0.080564	0.230912	0.018473
g7	-	g5	-0.043421	0.134807	-0.005813
g8	-	g5	-0.107192	0.402190	-0.042809
g1	+	g6	0.250986	0.997512	0.248607
g2	+	g6	0.177725	0.987257	0.174231
g3	+	g6	0.069118	0.167726	0.011512
g4	+	g6	0.000351	0.000337	0.000000
g5	+	g6	0.245743	0.974271	0.237743
g6	+	g6	0.434782	1.000000	0.431736
g7	+	g6	0.087391	0.200487	0.017398
g8	-	g6	-0.240876	0.986930	-0.236062
g1	+	g7	0.076763	0.634073	0.048332
g2	+	g7	0.086577	0.978187	0.084095
g3	+	g7	0.030722	0.133651	0.004077
g4	+	g7	0.020642	0.113922	0.002335
g5	-	g7	-0.023210	0.115111	-0.002653
g6	+	g7	0.043519	0.214857	0.009285
g7	+	g7	0.298650	1.000000	0.296558
g8	-	g7	-0.114893	0.998375	-0.113903
g1	+	g8	0.423855	1.000000	0.420885
g2	+	g8	0.263661	1.000000	0.261814
g3	-	g8	-0.011844	0.029491	-0.000347
g4	+	g8	0.002242	0.000191	0.000000
g5	-	g8	-0.202587	0.970384	-0.195210
g6	+	g8	0.009622	0.096507	0.000922
g7	-	g8	-0.036984	0.123922	-0.004551
g8	+	g8	0.474457	1.000000	0.471132
