SourceGENES,TargetGENES,Interaction,Edges
CTNNB1,GATA4,1.04204891811495,repression
CTNNB1,WT1mKTS,1,activation
CBX2,GATA4,0.778892000979808,repression
DKK1,GATA4,0.45437315439214,repression
WT1pKTS,DMRT1,0.435360230311563,activation
WT1pKTS,DKK1,0.420854117269155,activation
FOXL2,DKK1,0.419992460846522,repression
FOXL2,DMRT1,0.39344582672191,repression
NR5A1,GATA4,0.383909354263102,repression
DMRT1,GATA4,0.346797631099062,activation
WT1pKTS,SOX9,0.336263739055554,repression
FOXL2,AMH,0.307828979708516,repression
SRY,GATA4,0.296250641377717,activation
SRY,AMH,0.289503077265518,repression
NR5A1,NR0B1,0.245543022092083,repression
CTNNB1,NR0B1,0.243003749552904,activation
WT1pKTS,PGD2,0.240012198155411,repression
NR5A1,AMH,0.235013221155255,repression
NR5A1,UGR,0.227564228203866,activation
FOXL2,CBX2,0.22543161494934,repression
CTNNB1,WNT4,0.224638277170174,activation
CBX2,NR0B1,0.221557534061484,repression
NR5A1,SRY,0.211436956618839,activation
WT1pKTS,AMH,0.21075643534366,activation
RSPO1,WT1mKTS,0.207715698705708,repression
FGF9,PGD2,0.206931903573104,activation
WT1pKTS,FOXL2,0.204129108096415,repression
CBX2,UGR,0.198849075131282,activation
CTNNB1,UGR,0.195378196455549,repression
FOXL2,CTNNB1,0.193252467359035,activation
SRY,DMRT1,0.189715607501766,activation
CTNNB1,SRY,0.189412583954607,repression
NR5A1,WNT4,0.188252606596281,repression
CBX2,WNT4,0.186019277931998,repression
WT1pKTS,CBX2,0.180958215746614,activation
NR5A1,DKK1,0.175096628948951,activation
RSPO1,GATA4,0.174897403463709,repression
FOXL2,NR5A1,0.170770855777997,repression
CBX2,SRY,0.166881348202482,activation
CBX2,AMH,0.161708518533483,repression
WT1pKTS,NR5A1,0.161312216322784,activation
SRY,DKK1,0.160330376606866,activation
FOXL2,SOX9,0.155886447303259,activation
NR5A1,RSPO1,0.150838360766664,repression
DKK1,AMH,0.150372603299615,activation
NR5A1,CTNNB1,0.149270671408554,repression
WT1pKTS,FGF9,0.148208476790892,repression
FOXL2,RSPO1,0.146764563971338,activation
WT1pKTS,WT1pKTS,0.145932495833762,activation
WT1pKTS,CTNNB1,0.14011875247346,repression
SRY,CTNNB1,0.136265978176039,repression
SRY,CBX2,0.131535784877341,activation
DMRT1,WT1mKTS,0.131202364818298,activation
NR5A1,CBX2,0.129928665966045,activation
FOXL2,FOXL2,0.129259237740172,activation
SRY,RSPO1,0.119849709277989,repression
FOXL2,SRY,0.11662857661324,repression
CBX2,CTNNB1,0.116059030248847,repression
CBX2,RSPO1,0.111649973130806,repression
WT1pKTS,RSPO1,0.109024024811453,repression
DKK1,NR0B1,0.106039169685079,repression
DKK1,UGR,0.105180370609575,repression
SRY,UGR,0.104595954172473,repression
DKK1,DKK1,0.10451766349789,activation
FOXL2,UGR,0.0972638186518131,repression
SRY,NR5A1,0.0968139877347167,activation
DKK1,CTNNB1,0.0960166075533452,repression
NR5A1,DMRT1,0.095542236609978,repression
DMRT1,NR0B1,0.0930587654389933,activation
CBX2,WT1mKTS,0.0930246284972087,repression
DMRT1,SRY,0.0918162119856469,activation
DKK1,CBX2,0.090582663614743,activation
CBX2,CBX2,0.0890387365030965,activation
DKK1,SRY,0.088073936952101,activation
DKK1,WNT4,0.0863877438540876,activation
DMRT1,WNT4,0.0817860631053819,repression
DKK1,RSPO1,0.0811716419388828,activation
WT1pKTS,SRY,0.0788707396784717,activation
DMRT1,UGR,0.0781427921593183,repression
SRY,NR0B1,0.0775715250530649,activation
FGF9,DMRT1,0.076068504799874,activation
CTNNB1,CTNNB1,0.074092773642427,activation
CTNNB1,RSPO1,0.0740758370892309,activation
DMRT1,DKK1,0.0702714452334709,activation
FOXL2,WT1pKTS,0.068242825977291,repression
FGF9,SOX9,0.0649255890244195,repression
DKK1,DMRT1,0.0649034542859597,activation
FOXL2,NR0B1,0.0645268021166782,activation
SOX9,AMH,0.0625289573739497,repression
SRY,SRY,0.0560950381681255,activation
FGF9,AMH,0.0553495165538743,repression
DMRT1,CBX2,0.0534039909912224,repression
DMRT1,CTNNB1,0.0526150251864929,repression
SRY,WNT4,0.0492064070513547,activation
CBX2,DKK1,0.0475659365209196,activation
RSPO1,NR0B1,0.0466975821724079,activation
CTNNB1,CBX2,0.0455377370181959,repression
RSPO1,WNT4,0.0432338994217316,activation
RSPO1,SRY,0.0422211697488878,repression
DKK1,NR5A1,0.0392194878684059,activation
DMRT1,RSPO1,0.0391824685266623,activation
NR5A1,NR5A1,0.0385787332581865,activation
WT1pKTS,UGR,0.0380028806694492,activation
RSPO1,UGR,0.0361161471627572,repression
SOX9,DKK1,0.03399020569843,activation
FGF9,DKK1,0.0324614778454232,repression
FGF9,FOXL2,0.0274006647016197,repression
FGF9,WT1pKTS,0.027288413387363,repression
NR5A1,FOXL2,0.0221761761582907,repression
FOXL2,WNT4,0.0214947652286382,activation
FGF9,NR5A1,0.0212965736232744,repression
SOX9,DMRT1,0.021220790972263,activation
SOX9,CBX2,0.0202396690149203,activation
FGF9,RSPO1,0.0181196250147638,repression
SOX9,DHH,0.0159878490371147,repression
FGF9,CTNNB1,0.0147360603761353,repression
SOX9,SRY,0.0141549291853103,activation
SOX9,WNT4,0.0131886775267743,activation
RSPO1,CTNNB1,0.0125731165011059,activation
