Regulator	Target	SINGE_Score
Pax6	Nkx61	1.5
Pax6	Irx3	0.66666
Nkx61	Olig2	0.375
Irx3	Nkx61	0.24
Nkx62	Nkx22	0.12244
Dbx2	Pax6	0.09375
Nkx61	Pax6	0.07407
Dbx1	Irx3	0.06
Dbx2	Irx3	0.04958
Nkx22	Nkx61	0.04166
Nkx22	Irx3	0.0355
Dbx1	Olig2	0.02666
Pax6	Dbx1	0.02343
Olig2	Nkx61	0.02076
Nkx62	Olig2	0.01851
Pax6	Olig2	0.01662
Olig2	Nkx22	0.015
Pax6	Nkx62	0.0136
Nkx61	Irx3	0.01239
Dbx1	Nkx61	0.01134
Pax6	Dbx2	0.0096
Olig2	Pax6	0.00887
Olig2	Dbx1	0.00823
Dbx1	Pax6	0.00666
Dbx2	Olig2	0.00624
Irx3	Nkx62	0.00585
Nkx61	Dbx1	0.00519
Irx3	Pax6	0.00489
Dbx1	Dbx2	0.00462
Nkx61	Nkx62	0.00438
Irx3	Olig2	0.00415
Nkx61	Dbx2	0.00394
Irx3	Dbx1	0.00375
Olig2	Dbx2	0.00356
Dbx2	Nkx61	0.0034
Olig2	Irx3	0.00324
Olig2	Nkx62	0.00309
Pax6	Nkx22	0.00283
