Parent	Type	Child	Weight	Probability	Score
g1	+	g1	0.675707	1.000000	0.845951
g2	+	g1	0.337797	1.000000	0.422905
g3	-	g1	-0.039938	0.094468	-0.004723
g4	-	g1	-0.041235	0.060757	-0.003137
g6	-	g1	-0.266352	1.000000	-0.333459
g7	-	g1	-0.182904	0.405019	-0.092744
g8	+	g1	0.351579	1.000000	0.440159
g1	+	g2	0.450057	1.000000	0.563449
g2	+	g2	0.521792	1.000000	0.653258
g3	+	g2	0.400298	1.000000	0.501154
g4	+	g2	0.111519	0.125852	0.017571
g6	-	g2	-0.184924	0.904040	-0.209300
g7	-	g2	-0.014033	0.039642	-0.000696
g8	+	g2	0.322460	0.997031	0.402505
g1	-	g3	-0.005757	0.054438	-0.000392
g2	+	g3	0.198826	0.083398	0.020759
g3	+	g3	0.798754	1.000000	1.000000
g4	+	g3	0.206509	0.428785	0.110857
g6	+	g3	0.202571	0.148677	0.037706
g7	+	g3	0.302878	0.706146	0.267762
g8	+	g3	0.201062	0.009844	0.002478
g1	+	g4	0.008466	0.052291	0.000554
g2	+	g4	0.217195	0.657733	0.178849
g3	+	g4	0.216457	0.753561	0.204210
g4	+	g4	0.485904	1.000000	0.608327
g6	+	g4	0.133890	0.126997	0.021288
g7	-	g4	-0.247591	0.827149	-0.256393
g8	-	g4	-0.103842	0.777000	-0.101014
g1	-	g6	-0.203644	0.997385	-0.254286
g2	-	g6	-0.146569	0.862880	-0.158336
g3	+	g6	0.192586	0.228090	0.054994
g4	-	g6	-0.030853	0.046748	-0.001806
g6	+	g6	0.764477	1.000000	0.957086
g7	+	g6	0.752623	1.000000	0.942246
g8	+	g6	0.417763	1.000000	0.523018
g1	-	g7	-0.092056	0.998470	-0.115074
g2	+	g7	0.098366	0.978060	0.120448
g3	+	g7	0.060574	0.394977	0.029953
g4	-	g7	-0.005807	0.019556	-0.000142
g6	+	g7	0.063034	0.783801	0.061854
g7	+	g7	0.092880	0.465885	0.054174
g8	+	g7	0.008873	0.066476	0.000738
g1	+	g8	0.499666	1.000000	0.625557
g2	+	g8	0.077253	0.060180	0.005820
g3	+	g8	0.028898	0.046181	0.001671
g4	-	g8	-0.420367	1.000000	-0.526279
g6	+	g8	0.473525	1.000000	0.592829
g7	+	g8	0.789624	1.000000	0.988569
g8	+	g8	0.698323	1.000000	0.874265
