SourceGENES,TargetGENES,Interaction,Edges
g6,g7,1,activation
g1,g7,0.980488778823458,repression
g4,g7,0.967533825930503,activation
g2,g1,0.922272879479096,activation
g2,g6,0.902917446362686,activation
g2,g4,0.830112278238727,activation
g4,g4,0.720537538078631,activation
g1,g4,0.711162814153923,activation
g6,g4,0.693146462175312,activation
g1,g5,0.661713298306937,repression
g1,g6,0.659417081314603,activation
g4,g6,0.650734739033895,activation
g6,g5,0.646995346053763,repression
g6,g6,0.628109042999702,activation
g4,g5,0.627079996194849,activation
g4,g3,0.54116492097354,activation
g4,g1,0.531799630477198,activation
g6,g3,0.529067995498347,activation
g6,g8,0.525206103151521,repression
g6,g1,0.522088441331612,activation
g4,g8,0.518570264447287,repression
g1,g1,0.518237715019159,activation
g1,g3,0.492064272628228,repression
g1,g8,0.457621779554946,activation
g2,g5,0.427867201390188,repression
g3,g8,0.38255861498989,repression
g2,g7,0.293947639751277,activation
g3,g2,0.245113432489699,activation
g2,g2,0.219249729437717,activation
g4,g2,0.184253221205928,activation
g3,g7,0.150611307527114,activation
g6,g2,0.135254883034966,activation
g3,g3,0.115588383454006,activation
g2,g8,0.0834784712108862,repression
g3,g4,0.0781279090846809,activation
g1,g2,0.0647126939879767,activation
g3,g6,0.0589230032642527,activation
g3,g1,0.0464844034147461,repression
g8,g1,0.0432608271777716,activation
g8,g2,0.0415589899507756,repression
g7,g2,0.0391985056843248,activation
g7,g8,0.0346828452930469,repression
g8,g6,0.0346471312355885,repression
g8,g4,0.0342294746240673,repression
g7,g3,0.0301581490135504,activation
g7,g7,0.0287279026848979,activation
g7,g4,0.0268960378752876,activation
g7,g6,0.0224218974285875,activation
g7,g1,0.0214996432607225,repression
g5,g3,0.0130379823535232,activation
g5,g7,0.0108089625464058,repression
g5,g8,0.00885184705697951,activation
g5,g2,0.00662710236505486,repression
g8,g8,0.00427338430923526,activation
g5,g4,0.00407574562593826,activation
g8,g7,0.00293679024343666,repression
g7,g5,0.00223794828913132,repression
g5,g5,0.00214107282033118,activation
g5,g6,0.00204703856366194,repression
g8,g3,0.00151739335163141,repression
g5,g1,0.000775408432079269,repression
g2,g3,0,no regulation
g3,g5,0,no regulation
g8,g5,0,no regulation
