Parent	Type	Child	Weight	Probability	Score
Coup	+	Coup	0.772517	1.000000	0.907862
Emx2	+	Coup	0.517865	1.000000	0.608595
Fgf8	-	Coup	-0.049217	0.063644	-0.003681
Pax6	+	Coup	0.689556	1.000000	0.810366
Sp8	+	Coup	0.020757	0.004099	0.000100
Coup	+	Emx2	0.357875	0.999614	0.420412
Emx2	+	Emx2	0.850919	1.000000	1.000000
Fgf8	+	Emx2	0.027365	0.051680	0.001662
Pax6	+	Emx2	0.231373	0.823936	0.224036
Sp8	-	Emx2	-0.041835	0.022131	-0.001088
Coup	+	Fgf8	0.129447	1.000000	0.152126
Emx2	+	Fgf8	0.227448	0.000000	0.000000
Fgf8	+	Fgf8	0.442786	1.000000	0.520363
Pax6	+	Fgf8	0.215595	0.000000	0.000000
Sp8	+	Fgf8	0.042564	0.153887	0.007698
Coup	+	Pax6	0.328575	1.000000	0.386142
Emx2	-	Pax6	-0.292599	1.000000	-0.343863
Fgf8	-	Pax6	-0.032625	0.066590	-0.002553
Pax6	+	Pax6	0.430261	1.000000	0.505643
Sp8	+	Pax6	0.107613	0.332636	0.042067
Coup	+	Sp8	0.242644	0.999999	0.285156
Emx2	-	Sp8	-0.201665	1.000000	-0.236997
Fgf8	-	Sp8	-0.175910	0.632558	-0.130768
Pax6	-	Sp8	-0.223853	0.999873	-0.263039
Sp8	+	Sp8	0.794163	1.000000	0.933301
