Parent	Type	Child	Weight	Probability	Score
Cebpa	+	Cebpa	0.302822	0.959313	0.410426
EgrNab	+	Cebpa	0.368499	0.755826	0.393501
Eklf	+	Cebpa	0.016478	0.052793	0.001229
Fli1	-	Cebpa	-0.073537	0.169941	-0.017656
Fog1	+	Cebpa	0.051348	0.120289	0.008726
Gata1	+	Cebpa	0.056633	0.120945	0.009677
Gata2	+	Cebpa	0.280995	0.999998	0.396995
Gfi1	-	Cebpa	-0.206519	0.659581	-0.192449
Pu1	+	Cebpa	0.279683	0.751153	0.296812
Scl	-	Cebpa	-0.042258	0.103966	-0.006207
cJun	+	Cebpa	0.647310	0.999831	0.914379
Cebpa	+	EgrNab	0.012291	0.168726	0.002930
EgrNab	+	EgrNab	0.012863	0.490337	0.008911
Eklf	+	EgrNab	0.004704	0.044273	0.000294
Fli1	+	EgrNab	0.003908	0.083887	0.000463
Fog1	-	EgrNab	-0.001925	0.086169	-0.000234
Gata1	+	EgrNab	0.019375	0.783260	0.021440
Gata2	+	EgrNab	0.006326	0.056960	0.000509
Gfi1	+	EgrNab	0.015285	0.186275	0.004023
Pu1	+	EgrNab	0.012680	0.267692	0.004796
Scl	-	EgrNab	-0.003385	0.088954	-0.000425
cJun	-	EgrNab	-0.007931	0.298082	-0.003340
Cebpa	+	Eklf	0.011521	0.085740	0.001396
EgrNab	-	Eklf	-0.074739	0.493141	-0.052072
Eklf	+	Eklf	0.448093	1.000000	0.633076
Fli1	+	Eklf	0.148707	0.742217	0.155937
Fog1	-	Eklf	-0.037996	0.126470	-0.006789
Gata1	-	Eklf	-0.173774	0.840975	-0.206469
Gata2	+	Eklf	0.369938	1.000000	0.522658
Gfi1	-	Eklf	-0.040040	0.075050	-0.004246
Pu1	-	Eklf	-0.176382	0.518304	-0.129159
Scl	+	Eklf	0.142527	0.638953	0.128663
cJun	-	Eklf	-0.272924	0.760519	-0.293251
Cebpa	-	Fli1	-0.008191	0.087968	-0.001018
EgrNab	+	Fli1	0.108570	0.501801	0.076971
Eklf	-	Fli1	-0.070625	0.091664	-0.009146
Fli1	+	Fli1	0.315601	0.999836	0.445816
Fog1	+	Fli1	0.408083	1.000000	0.576549
Gata1	+	Fli1	0.233200	0.994596	0.327689
Gata2	-	Fli1	-0.032221	0.049321	-0.002245
Gfi1	-	Fli1	-0.093313	0.154726	-0.020398
Pu1	+	Fli1	0.007801	0.221640	0.002443
Scl	+	Fli1	0.420715	1.000000	0.594396
cJun	-	Fli1	-0.138309	0.380695	-0.074390
Cebpa	+	Fog1	0.000166	0.071518	0.000017
EgrNab	+	Fog1	0.050457	0.480970	0.034287
Eklf	-	Fog1	-0.106605	0.215999	-0.032532
Fli1	+	Fog1	0.335670	1.000000	0.474243
Fog1	+	Fog1	0.364270	1.000000	0.514650
Gata1	+	Fog1	0.335635	1.000000	0.474193
Gata2	-	Fog1	-0.201605	0.940297	-0.267827
Gfi1	-	Fog1	-0.006206	0.046266	-0.000406
Pu1	+	Fog1	0.025395	0.226508	0.008127
Scl	+	Fog1	0.323827	0.999997	0.457510
cJun	-	Fog1	-0.110142	0.365452	-0.056868
Cebpa	+	Gata1	0.187860	0.541519	0.143726
EgrNab	+	Gata1	0.205858	0.572320	0.166454
Eklf	+	Gata1	0.494525	0.000000	0.000000
Fli1	+	Gata1	0.034335	0.112943	0.005479
Fog1	+	Gata1	0.390875	1.000000	0.552237
Gata1	+	Gata1	0.596643	1.000000	0.842951
Gata2	+	Gata1	0.373985	0.999995	0.528372
Gfi1	+	Gata1	0.003710	0.075311	0.000395
Pu1	+	Gata1	0.036843	0.236843	0.012328
Scl	+	Gata1	0.209810	0.918564	0.272284
cJun	-	Gata1	-0.004214	0.284575	-0.001694
Cebpa	+	Gata2	0.090810	0.211420	0.027125
EgrNab	+	Gata2	0.299662	0.712845	0.301797
Eklf	+	Gata2	0.091704	0.181297	0.023489
Fli1	-	Gata2	-0.063180	0.157022	-0.014016
Fog1	+	Gata2	0.004088	0.072862	0.000421
Gata1	+	Gata2	0.042214	0.103996	0.006202
Gata2	+	Gata2	0.707803	1.000000	1.000000
Gfi1	-	Gata2	-0.014042	0.063611	-0.001262
Pu1	+	Gata2	0.169510	0.492224	0.117881
Scl	+	Gata2	0.034673	0.096942	0.004749
cJun	+	Gata2	0.098269	0.372459	0.051711
Cebpa	+	Gfi1	0.258534	0.644116	0.235272
EgrNab	+	Gfi1	0.293783	0.616984	0.256087
Eklf	-	Gfi1	-0.008212	0.049245	-0.000571
Fli1	-	Gfi1	-0.194608	0.547593	-0.150559
Fog1	+	Gfi1	0.157226	0.379370	0.084270
Gata1	+	Gfi1	0.088900	0.153459	0.019274
Gata2	+	Gfi1	0.351357	0.999998	0.496404
Gfi1	-	Gfi1	-0.202361	0.423366	-0.121040
Pu1	+	Gfi1	0.059954	0.277298	0.023488
Scl	+	Gfi1	0.001661	0.086532	0.000203
cJun	+	Gfi1	0.499728	0.933998	0.659428
Cebpa	+	Pu1	0.079408	0.742422	0.083292
EgrNab	+	Pu1	0.027139	0.490580	0.018810
Eklf	-	Pu1	-0.022221	0.098444	-0.003091
Fli1	-	Pu1	-0.002103	0.051658	-0.000153
Fog1	+	Pu1	0.001952	0.058658	0.000162
Gata1	+	Pu1	0.003369	0.050802	0.000242
Gata2	+	Pu1	0.041328	0.325828	0.019025
Gfi1	-	Pu1	-0.069680	0.658709	-0.064847
Pu1	+	Pu1	0.260491	0.999999	0.368027
Scl	+	Pu1	0.001337	0.057166	0.000108
cJun	+	Pu1	0.328057	1.000000	0.463486
Cebpa	-	Scl	-0.038176	0.093674	-0.005052
EgrNab	-	Scl	-0.053293	0.481111	-0.036224
Eklf	+	Scl	0.081402	0.133405	0.015343
Fli1	+	Scl	0.221479	0.979724	0.306566
Fog1	+	Scl	0.375843	1.000000	0.530999
Gata1	+	Scl	0.289624	0.999990	0.409184
Gata2	-	Scl	-0.147678	0.482412	-0.100652
Gfi1	-	Scl	-0.022962	0.056784	-0.001842
Pu1	+	Scl	0.010968	0.220630	0.003419
Scl	+	Scl	0.445043	1.000000	0.628767
cJun	-	Scl	-0.088130	0.331495	-0.041275
Cebpa	+	cJun	0.084679	0.924101	0.110556
EgrNab	+	cJun	0.008668	0.472989	0.005792
Eklf	-	cJun	-0.029410	0.181549	-0.007544
Fli1	+	cJun	0.000590	0.056051	0.000047
Fog1	-	cJun	-0.000216	0.064018	-0.000019
Gata1	+	cJun	0.005332	0.065814	0.000496
Gata2	+	cJun	0.037445	0.365252	0.019323
Gfi1	-	cJun	-0.076210	0.908269	-0.097795
Pu1	+	cJun	0.114070	0.931389	0.150104
Scl	+	cJun	0.003313	0.067752	0.000317
cJun	+	cJun	0.324173	1.000000	0.458000
