Regulator	Target	SINGE_Score
g10	g4	6
g10	g9	1.5
g10	g1	0.375
g10	g6	0.24
g10	g5	0.16666
g10	g3	0.12244
g7	g2	0.09375
g7	g8	0.07407
g7	g4	0.06
g1	g9	0.04958
g2	g10	0.04166
g7	g3	0.0355
g7	g10	0.03061
g3	g10	0.02343
g7	g9	0.02076
g3	g4	0.01851
g2	g8	0.01662
g3	g8	0.015
g1	g6	0.0136
g5	g4	0.01239
g1	g8	0.01134
g5	g9	0.00887
g2	g9	0.00765
g2	g4	0.00713
g2	g3	0.00624
g3	g6	0.00585
g2	g6	0.0055
g5	g8	0.00519
g9	g5	0.00489
g7	g5	0.00462
g4	g10	0.00438
g4	g3	0.00415
g9	g1	0.00375
g2	g1	0.00356
g3	g1	0.00324
g1	g4	0.00309
g5	g3	0.00296
g4	g6	0.00283
g5	g2	0.00271
g3	g2	0.0026
g5	g10	0.00249
g4	g1	0.0024
g6	g9	0.0023
g2	g5	0.00221
g8	g3	0.00213
g7	g1	0.00205
g3	g9	0.00198
g10	g8	0.00191
g9	g6	0.00184
g5	g6	0.00178
g6	g8	0.00172
g1	g10	0.00166
g1	g3	0.00161
g9	g10	0.00156
g9	g3	0.00151
g8	g9	0.00146
g1	g2	0.00142
g3	g5	0.00137
g4	g2	0.00129
g9	g2	0.00126
g5	g1	0.00122
g7	g6	0.00115
g6	g10	0.00112
g1	g7	0.00109
