Parent	Type	Child	Weight	Probability	Score
AMH	+	AMH	0.420362	0.999988	0.740329
CBX2	-	AMH	-0.022076	0.040910	-0.001591
CTNNB1	+	AMH	0.057215	0.075074	0.007565
DHH	+	AMH	0.260461	0.230872	0.105906
DKK1	+	AMH	0.051449	0.040323	0.003654
DMRT1	+	AMH	0.037279	0.048788	0.003203
FGF9	+	AMH	0.296984	0.556306	0.290973
FOXL2	+	AMH	0.261872	0.564349	0.260282
GATA4	-	AMH	-0.030491	0.147844	-0.007939
NR0B1	-	AMH	-0.049897	0.108482	-0.009533
NR5A1	+	AMH	0.045336	0.043892	0.003505
PGD2	+	AMH	0.273211	0.337663	0.162475
RSPO1	-	AMH	-0.037659	0.053846	-0.003571
SOX9	+	AMH	0.285950	0.184497	0.092915
SRY	+	AMH	0.069589	0.029940	0.003669
UGR	-	AMH	-0.021546	0.021440	-0.000814
WNT4	-	AMH	-0.087720	0.195513	-0.030205
WT1mKTS	-	AMH	-0.020504	0.117008	-0.004225
WT1pKTS	+	AMH	0.072732	0.027259	0.003492
AMH	-	CBX2	-0.036786	0.128031	-0.008295
CBX2	+	CBX2	0.395850	1.000000	0.697167
CTNNB1	-	CBX2	-0.222048	0.985716	-0.385483
DHH	+	CBX2	0.019046	0.087878	0.002948
DKK1	-	CBX2	-0.189467	1.000000	-0.333688
DMRT1	-	CBX2	-0.186549	0.999999	-0.328548
FGF9	-	CBX2	-0.043893	0.157350	-0.012164
FOXL2	+	CBX2	0.109135	0.468722	0.090092
GATA4	+	CBX2	0.131770	0.952633	0.221080
NR0B1	-	CBX2	-0.046004	0.147415	-0.011944
NR5A1	+	CBX2	0.265672	1.000000	0.467900
PGD2	-	CBX2	-0.002770	0.083872	-0.000409
RSPO1	-	CBX2	-0.041279	0.093173	-0.006774
SOX9	-	CBX2	-0.214029	1.000000	-0.376947
SRY	-	CBX2	-0.062493	0.284423	-0.031304
UGR	+	CBX2	0.254492	1.000000	0.448208
WNT4	+	CBX2	0.184869	0.999993	0.325588
WT1mKTS	+	CBX2	0.167189	0.999581	0.294329
WT1pKTS	+	CBX2	0.162999	0.999134	0.286823
AMH	+	CTNNB1	0.012360	0.089597	0.001950
CBX2	-	CTNNB1	-0.041157	0.219753	-0.015929
CTNNB1	+	CTNNB1	0.195456	0.999999	0.344234
DHH	+	CTNNB1	0.005082	0.080559	0.000721
DKK1	-	CTNNB1	-0.047224	0.379463	-0.031560
DMRT1	-	CTNNB1	-0.039723	0.254602	-0.017812
FGF9	-	CTNNB1	-0.001047	0.078250	-0.000144
FOXL2	-	CTNNB1	-0.191448	0.827946	-0.279164
GATA4	+	CTNNB1	0.032394	0.169323	0.009660
NR0B1	+	CTNNB1	0.051814	0.540735	0.049344
NR5A1	+	CTNNB1	0.021099	0.110704	0.004114
PGD2	+	CTNNB1	0.012955	0.094515	0.002157
RSPO1	+	CTNNB1	0.054570	0.300803	0.028910
SOX9	+	CTNNB1	0.005253	0.069934	0.000647
SRY	+	CTNNB1	0.041547	0.253958	0.018583
UGR	-	CTNNB1	-0.014229	0.044581	-0.001117
WNT4	+	CTNNB1	0.135466	1.000000	0.238581
WT1mKTS	+	CTNNB1	0.015572	0.098246	0.002694
WT1pKTS	-	CTNNB1	-0.030198	0.165071	-0.008779
AMH	+	DHH	0.440392	0.999634	0.775330
CBX2	-	DHH	-0.015878	0.034382	-0.000961
CTNNB1	+	DHH	0.085385	0.110665	0.016642
DHH	+	DHH	0.184271	0.010210	0.003314
DKK1	+	DHH	0.113026	0.001836	0.000365
DMRT1	+	DHH	0.007791	0.068216	0.000936
FGF9	+	DHH	0.411051	0.971639	0.703407
FOXL2	+	DHH	0.337004	0.658581	0.390887
GATA4	-	DHH	-0.060173	0.409189	-0.043365
NR0B1	-	DHH	-0.028402	0.078822	-0.003943
NR5A1	+	DHH	0.036017	0.036905	0.002341
PGD2	+	DHH	0.285310	0.039693	0.019945
RSPO1	-	DHH	-0.076780	0.119965	-0.016222
SOX9	+	DHH	0.328167	0.001590	0.000919
SRY	+	DHH	0.070128	0.014166	0.001750
UGR	-	DHH	-0.016609	0.016971	-0.000496
WNT4	-	DHH	-0.099535	0.264742	-0.046409
WT1mKTS	-	DHH	-0.000872	0.080570	-0.000124
WT1pKTS	+	DHH	0.094073	0.005217	0.000864
AMH	-	DKK1	-0.031845	0.114757	-0.006436
CBX2	-	DKK1	-0.233736	0.999976	-0.411643
CTNNB1	+	DKK1	0.277232	0.987401	0.482107
DHH	+	DKK1	0.031419	0.086513	0.004787
DKK1	+	DKK1	0.370925	1.000000	0.653270
DMRT1	+	DKK1	0.395817	1.000000	0.697109
FGF9	+	DKK1	0.126904	0.439780	0.098292
FOXL2	+	DKK1	0.057281	0.400757	0.040430
GATA4	+	DKK1	0.115495	0.113542	0.023096
NR0B1	+	DKK1	0.093258	0.198565	0.032613
NR5A1	+	DKK1	0.367859	0.000000	0.000000
PGD2	+	DKK1	0.021164	0.084645	0.003155
RSPO1	+	DKK1	0.107790	0.245763	0.046655
SOX9	+	DKK1	0.232951	0.999094	0.409899
SRY	+	DKK1	0.189687	0.896700	0.299565
UGR	-	DKK1	-0.017397	0.039168	-0.001200
WNT4	+	DKK1	0.372784	0.000000	0.000000
WT1mKTS	+	DKK1	0.198069	0.915541	0.319375
WT1pKTS	+	DKK1	0.229346	0.996570	0.402538
AMH	-	DMRT1	-0.002374	0.085239	-0.000356
CBX2	-	DMRT1	-0.285342	1.000000	-0.502541
CTNNB1	+	DMRT1	0.283579	0.992218	0.495551
DHH	-	DMRT1	-0.033943	0.130902	-0.007825
DKK1	+	DMRT1	0.395760	1.000000	0.697009
DMRT1	+	DMRT1	0.362372	1.000000	0.638206
FGF9	+	DMRT1	0.175961	0.935618	0.289948
FOXL2	+	DMRT1	0.217933	0.586310	0.225038
GATA4	+	DMRT1	0.120603	0.094082	0.019984
NR0B1	+	DMRT1	0.140254	0.644665	0.159241
NR5A1	+	DMRT1	0.312857	0.000000	0.000000
PGD2	+	DMRT1	0.040597	0.089636	0.006409
RSPO1	+	DMRT1	0.107431	0.245714	0.046491
SOX9	+	DMRT1	0.167791	0.678472	0.200496
SRY	+	DMRT1	0.196745	0.898868	0.311462
UGR	+	DMRT1	0.013681	0.036757	0.000886
WNT4	+	DMRT1	0.392832	0.000000	0.000000
WT1mKTS	+	DMRT1	0.195281	0.813998	0.279957
WT1pKTS	+	DMRT1	0.230157	0.993214	0.402599
