Parent	Type	Child	Weight	Probability	Score
g1	+	g1	0.658332	1.000000	0.914797
g2	+	g1	0.188630	0.999452	0.261971
g3	-	g1	-0.007931	0.026409	-0.000291
g4	-	g1	-0.011422	0.090369	-0.001434
g5	-	g1	-0.161279	0.968938	-0.217147
g6	-	g1	-0.173617	0.808351	-0.195017
g7	+	g1	0.215691	0.781574	0.234252
g8	+	g1	0.163470	0.978271	0.222217
g1	+	g2	0.364515	1.000000	0.506519
g2	+	g2	0.515217	1.000000	0.715930
g3	+	g2	0.298749	1.000000	0.415132
g4	-	g2	-0.000035	0.096376	-0.000005
g5	-	g2	-0.216820	0.983939	-0.296448
g6	+	g2	0.303275	0.995929	0.419706
g7	+	g2	0.053970	0.109802	0.008235
g8	+	g2	0.221369	0.993659	0.305658
g1	-	g3	-0.214021	0.823895	-0.245024
g2	+	g3	0.341510	0.999991	0.474547
g3	+	g3	0.719648	1.000000	1.000000
g4	+	g3	0.276337	0.940312	0.361070
g5	-	g3	-0.006437	0.060773	-0.000544
g6	+	g3	0.031102	0.104190	0.004503
g7	+	g3	0.155001	0.235800	0.050788
g8	+	g3	0.110896	0.465420	0.071720
g1	-	g4	-0.022429	0.044418	-0.001384
g2	+	g4	0.064967	0.187493	0.016926
g3	+	g4	0.116983	0.952193	0.154784
g4	+	g4	0.423414	1.000000	0.588363
g5	+	g4	0.002625	0.013315	0.000049
g6	+	g4	0.282760	0.999819	0.392843
g7	+	g4	0.193286	0.765618	0.205633
g8	-	g4	-0.006573	0.022810	-0.000208
g1	+	g5	0.646933	0.000000	0.000000
g2	-	g5	-0.144189	0.485399	-0.097255
g3	+	g5	0.122028	0.158551	0.026885
g4	+	g5	0.393450	0.999769	0.546600
g5	+	g5	0.682130	1.000000	0.947866
g6	-	g5	-0.054261	0.133455	-0.010062
g7	+	g5	0.482284	0.999507	0.669836
g8	+	g5	0.577164	1.000000	0.802009
g1	+	g6	0.075470	0.250077	0.026226
g2	+	g6	0.099383	0.592795	0.081865
g3	+	g6	0.070175	0.256330	0.024995
g4	+	g6	0.215502	0.978903	0.293137
g5	-	g6	-0.000086	0.014584	-0.000002
g6	+	g6	0.446830	1.000000	0.620901
g7	+	g6	0.199497	0.818849	0.226997
g8	+	g6	0.005317	0.024596	0.000182
g1	-	g7	-0.044314	0.190228	-0.011714
g2	+	g7	0.057931	0.421758	0.033951
g3	+	g7	0.031827	0.134632	0.005954
g4	-	g7	-0.082932	0.481885	-0.055533
g5	+	g7	0.012521	0.077788	0.001353
g6	+	g7	0.146868	0.993735	0.202804
g7	+	g7	0.238405	1.000000	0.331279
g8	+	g7	0.011523	0.079123	0.001267
g1	+	g8	0.490114	1.000000	0.681047
g2	+	g8	0.166539	0.448252	0.103733
g3	-	g8	-0.025348	0.040093	-0.001412
g4	-	g8	-0.311388	0.985495	-0.426418
g5	+	g8	0.601376	1.000000	0.835654
g6	-	g8	-0.354339	0.997848	-0.491319
g7	+	g8	0.348085	0.944226	0.456711
g8	+	g8	0.659004	1.000000	0.915732
