Regulator	Target	SINGE_Score
Nkx22	Dbx2	6
Nkx22	Irx3	1.5
Nkx22	Nkx62	0.66666
Nkx22	Nkx61	0.375
Olig2	Pax6	0.24
Nkx22	Pax6	0.16666
Dbx1	Nkx61	0.04166
Pax6	Dbx1	0.0355
Olig2	Dbx1	0.03061
Dbx1	Pax6	0.02666
Dbx2	Nkx61	0.02343
Dbx1	Olig2	0.01851
Nkx62	Dbx1	0.01662
Olig2	Irx3	0.0136
Dbx2	Irx3	0.01239
Nkx22	Olig2	0.01134
Dbx1	Dbx2	0.01041
Nkx61	Dbx1	0.0096
Nkx62	Nkx61	0.00887
Dbx2	Pax6	0.00823
Pax6	Nkx61	0.00765
Irx3	Dbx2	0.00713
Nkx61	Olig2	0.00666
Nkx62	Pax6	0.00624
Pax6	Irx3	0.00585
Olig2	Nkx61	0.0055
Irx3	Pax6	0.00519
Dbx1	Nkx62	0.00489
Nkx22	Dbx1	0.00462
Nkx61	Pax6	0.00438
Dbx1	Nkx22	0.00415
Nkx62	Dbx2	0.00394
Pax6	Dbx2	0.00375
Olig2	Nkx62	0.00356
Pax6	Nkx22	0.00324
Pax6	Nkx62	0.00309
Nkx62	Irx3	0.00296
Dbx1	Irx3	0.00283
Irx3	Dbx1	0.00271
Pax6	Olig2	0.0026
Dbx2	Dbx1	0.00249
Olig2	Dbx2	0.0024
Irx3	Nkx22	0.0023
Irx3	Nkx61	0.00221
Irx3	Olig2	0.00213
Dbx2	Nkx62	0.00205
Olig2	Nkx22	0.00198
Nkx61	Nkx62	0.00191
Nkx62	Nkx22	0.00184
