Regulator	Target	SINGE_Score
Dbx2	Nkx61	6
Dbx2	Pax6	1.5
Dbx2	Olig2	0.375
Dbx2	Dbx1	0.16666
Dbx2	Irx3	0.12244
Dbx2	Nkx62	0.07407
Dbx1	Nkx22	0.06
Dbx1	Nkx61	0.04958
Dbx2	Nkx22	0.04166
Olig2	Dbx1	0.03061
Nkx61	Pax6	0.02666
Nkx62	Nkx22	0.02343
Nkx61	Nkx22	0.01851
Nkx61	Nkx62	0.01662
Nkx62	Nkx61	0.015
Olig2	Pax6	0.0136
Dbx1	Olig2	0.01239
Irx3	Nkx61	0.01134
Nkx22	Irx3	0.01041
Olig2	Nkx62	0.0096
Nkx61	Olig2	0.00823
Nkx22	Pax6	0.00765
Dbx1	Nkx62	0.00666
Irx3	Dbx1	0.00624
Nkx61	Dbx1	0.00585
Irx3	Nkx22	0.0055
Nkx22	Nkx61	0.00489
Olig2	Nkx22	0.00462
Olig2	Irx3	0.00438
Nkx61	Dbx2	0.00415
Olig2	Dbx2	0.00394
Nkx22	Nkx62	0.00375
Irx3	Pax6	0.00356
Nkx61	Irx3	0.0034
Nkx22	Olig2	0.00324
Nkx22	Dbx2	0.00309
Pax6	Nkx62	0.00296
Nkx22	Dbx1	0.00283
Pax6	Nkx22	0.00271
