Regulator	Target	SINGE_Score
Dbx1	Irx3	6
Dbx1	Olig2	0.66666
Olig2	Irx3	0.24
Nkx62	Olig2	0.16666
Nkx61	Olig2	0.12244
Nkx61	Irx3	0.07407
Nkx22	Nkx61	0.06
Dbx1	Nkx61	0.04958
Nkx62	Dbx1	0.04166
Nkx62	Irx3	0.0355
Pax6	Irx3	0.02666
Nkx22	Olig2	0.02343
Nkx62	Pax6	0.02076
Dbx1	Nkx22	0.01851
Olig2	Nkx61	0.01662
Dbx2	Olig2	0.015
Nkx61	Nkx22	0.01239
Olig2	Nkx62	0.01134
Olig2	Dbx2	0.01041
Dbx1	Nkx62	0.0096
Nkx22	Pax6	0.00887
Pax6	Olig2	0.00765
Dbx2	Pax6	0.00713
Olig2	Pax6	0.00666
Dbx2	Dbx1	0.0055
Pax6	Nkx22	0.00519
Nkx61	Nkx62	0.00489
Irx3	Dbx1	0.00462
Nkx22	Irx3	0.00438
Nkx61	Dbx2	0.00415
Nkx22	Dbx1	0.00394
Olig2	Dbx1	0.00375
Pax6	Nkx62	0.00356
Pax6	Dbx1	0.0034
Nkx61	Pax6	0.00324
Nkx62	Nkx61	0.00309
Dbx2	Irx3	0.00296
Irx3	Nkx62	0.00283
Nkx22	Nkx62	0.00271
Dbx2	Nkx22	0.0026
Irx3	Pax6	0.00249
Dbx1	Pax6	0.0024
Irx3	Dbx2	0.0023
Irx3	Nkx22	0.00221
Pax6	Dbx2	0.00213
