Parent	Type	Child	Weight	Probability	Score
Dbx1	+	Dbx1	0.285500	0.999997	0.569884
Dbx2	-	Dbx1	-0.188641	0.940318	-0.354073
Irx3	+	Dbx1	0.014439	0.086494	0.002493
Nkx22	+	Dbx1	0.206181	0.999931	0.411528
Nkx61	+	Dbx1	0.031478	0.166445	0.010458
Nkx62	+	Dbx1	0.242464	0.999749	0.483860
Olig2	+	Dbx1	0.205827	0.999937	0.410824
Pax6	-	Dbx1	-0.004651	0.075954	-0.000705
Dbx1	+	Dbx2	0.232694	0.998699	0.463877
Dbx2	+	Dbx2	0.301372	0.000000	0.000000
Irx3	+	Dbx2	0.003856	0.075519	0.000581
Nkx22	+	Dbx2	0.142285	0.922197	0.261918
Nkx61	+	Dbx2	0.053334	0.661677	0.070442
Nkx62	+	Dbx2	0.279726	0.999996	0.558357
Olig2	+	Dbx2	0.172240	0.995375	0.342218
Pax6	+	Dbx2	0.005560	0.083916	0.000931
Dbx1	-	Irx3	-0.176413	0.456418	-0.160722
Dbx2	-	Irx3	-0.411940	0.999564	-0.821913
Irx3	+	Irx3	0.467345	1.000000	0.932867
Nkx22	+	Irx3	0.065443	0.088796	0.011600
Nkx61	+	Irx3	0.489149	1.000000	0.976389
Nkx62	+	Irx3	0.128046	0.264383	0.067574
Olig2	-	Irx3	-0.014025	0.054980	-0.001539
Pax6	+	Irx3	0.442414	1.000000	0.883101
Dbx1	+	Nkx22	0.331399	1.000000	0.661505
Dbx2	+	Nkx22	0.050371	0.211649	0.021280
Irx3	+	Nkx22	0.038846	0.140760	0.010915
Nkx22	+	Nkx22	0.302997	1.000000	0.604811
Nkx61	+	Nkx22	0.019815	0.082283	0.003254
Nkx62	+	Nkx22	0.122932	0.526225	0.129127
Olig2	+	Nkx22	0.253717	0.999991	0.506439
Pax6	-	Nkx22	-0.026665	0.092673	-0.004933
Dbx1	-	Nkx61	-0.118368	0.263277	-0.062205
Dbx2	+	Nkx61	0.228948	0.664797	0.303814
Irx3	+	Nkx61	0.447795	1.000000	0.893842
Nkx22	+	Nkx61	0.258677	0.918050	0.474029
Nkx61	+	Nkx61	0.500978	1.000000	1.000000
Nkx62	-	Nkx61	-0.108845	0.234142	-0.050871
Olig2	+	Nkx61	0.201409	0.617072	0.248082
Pax6	+	Nkx61	0.453187	1.000000	0.904606
Dbx1	+	Nkx62	0.237595	0.993368	0.471117
Dbx2	-	Nkx62	-0.160137	0.720058	-0.230166
Irx3	+	Nkx62	0.015342	0.079984	0.002449
Nkx22	+	Nkx62	0.188026	0.985712	0.369955
Nkx61	+	Nkx62	0.069190	0.581480	0.080309
Nkx62	+	Nkx62	0.255931	0.999036	0.510371
Olig2	+	Nkx62	0.201321	0.996403	0.400412
Pax6	-	Nkx62	-0.026825	0.100132	-0.005362
Dbx1	+	Olig2	0.322344	0.999998	0.643428
Dbx2	+	Olig2	0.045217	0.180558	0.016297
Irx3	+	Olig2	0.013483	0.084206	0.002266
Nkx22	+	Olig2	0.243405	0.999477	0.485607
Nkx61	+	Olig2	0.055926	0.363219	0.040547
Nkx62	-	Olig2	-0.003038	0.104712	-0.000635
Olig2	+	Olig2	0.371744	1.000000	0.742038
Pax6	+	Olig2	0.007750	0.085470	0.001322
Dbx1	-	Pax6	-0.084015	0.175244	-0.029389
Dbx2	-	Pax6	-0.004984	0.119855	-0.001192
Irx3	+	Pax6	0.367826	1.000000	0.734217
Nkx22	+	Pax6	0.290337	0.992855	0.575400
Nkx61	+	Pax6	0.432202	1.000000	0.862718
Nkx62	+	Pax6	0.088704	0.176680	0.031283
Olig2	+	Pax6	0.013039	0.053669	0.001397
Pax6	+	Pax6	0.436480	1.000000	0.871256
