Parent	Type	Child	Weight	Probability	Score
Dbx1	+	Dbx1	0.305795	1.000000	0.484305
Dbx2	+	Dbx1	0.298543	0.999994	0.472816
Irx3	+	Dbx1	0.230147	1.000000	0.364496
Nkx22	+	Dbx1	0.003885	0.052604	0.000324
Nkx61	+	Dbx1	0.013825	0.083502	0.001828
Nkx62	+	Dbx1	0.161185	0.983894	0.251167
Olig2	+	Dbx1	0.002119	0.103985	0.000349
Pax6	+	Dbx1	0.083381	0.492830	0.065080
Dbx1	+	Dbx2	0.177904	1.000000	0.281756
Dbx2	+	Dbx2	0.262726	1.000000	0.416095
Irx3	-	Dbx2	-0.001170	0.086240	-0.000160
Nkx22	-	Dbx2	-0.000168	0.014091	-0.000004
Nkx61	-	Dbx2	-0.001919	0.017990	-0.000055
Nkx62	+	Dbx2	0.078188	0.903403	0.111869
Olig2	+	Dbx2	0.103140	0.999644	0.163290
Pax6	+	Dbx2	0.005027	0.104127	0.000829
Dbx1	+	Irx3	0.345013	1.000000	0.546416
Dbx2	+	Irx3	0.091318	0.390296	0.056447
Irx3	+	Irx3	0.099298	0.479653	0.075432
Nkx22	+	Irx3	0.027089	0.134768	0.005782
Nkx61	+	Irx3	0.026363	0.132386	0.005528
Nkx62	+	Irx3	0.128416	0.717253	0.145874
Olig2	+	Irx3	0.315251	1.000000	0.499280
Pax6	+	Irx3	0.013621	0.124943	0.002695
Dbx1	-	Nkx22	-0.131564	0.313879	-0.065402
Dbx2	+	Nkx22	0.007898	0.159180	0.001991
Irx3	+	Nkx22	0.126082	0.293770	0.058661
Nkx22	+	Nkx22	0.576023	1.000000	0.912280
Nkx61	+	Nkx22	0.615535	1.000000	0.974857
Nkx62	-	Nkx22	-0.066000	0.128789	-0.013462
Olig2	-	Nkx22	-0.012229	0.088933	-0.001722
Pax6	+	Nkx22	0.055499	0.123879	0.010889
Dbx1	+	Nkx61	0.024016	0.072860	0.002771
Dbx2	-	Nkx61	-0.008729	0.161035	-0.002226
Irx3	+	Nkx61	0.255442	0.981247	0.396971
Nkx22	+	Nkx61	0.529674	1.000000	0.838875
Nkx61	+	Nkx61	0.631410	1.000000	1.000000
Nkx62	+	Nkx61	0.043188	0.091197	0.006238
Olig2	+	Nkx61	0.114857	0.284166	0.051691
Pax6	+	Nkx61	0.119721	0.346703	0.065738
Dbx1	+	Nkx62	0.274565	1.000000	0.434843
Dbx2	+	Nkx62	0.259666	0.998963	0.410821
Irx3	+	Nkx62	0.115893	0.731501	0.134265
Nkx22	+	Nkx62	0.018133	0.097692	0.002806
Nkx61	+	Nkx62	0.003305	0.058695	0.000307
Nkx62	+	Nkx62	0.228704	0.999967	0.362200
Olig2	+	Nkx62	0.222408	0.999968	0.352229
Pax6	+	Nkx62	0.075057	0.379998	0.045171
Dbx1	+	Olig2	0.251836	1.000000	0.398847
Dbx2	+	Olig2	0.283088	0.999864	0.448281
Irx3	+	Olig2	0.138105	0.902919	0.197491
Nkx22	+	Olig2	0.009433	0.082470	0.001232
Nkx61	+	Olig2	0.041127	0.373867	0.024352
Nkx62	+	Olig2	0.149005	0.926745	0.218701
Olig2	+	Olig2	0.215737	0.999886	0.341635
Pax6	+	Olig2	0.085085	0.467639	0.063016
Dbx1	+	Pax6	0.373885	1.000000	0.592143
Dbx2	+	Pax6	0.095449	0.355050	0.053672
Irx3	+	Pax6	0.075543	0.251908	0.030139
Nkx22	+	Pax6	0.020285	0.099295	0.003190
Nkx61	+	Pax6	0.032652	0.148496	0.007679
Nkx62	+	Pax6	0.325882	1.000000	0.516117
Olig2	+	Pax6	0.251106	0.998983	0.397286
Pax6	+	Pax6	0.195652	0.991044	0.307089
